

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-01-24T13:46:59PST



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
166|NGC 0099|  5.99774 |  15.77046 |G|  5310| 0.017712 |S1L |14.1g|  0.000|85|2|98|25|22|16|0
167|NGC 0100|  6.01243 |  16.48712 |G|   844| 0.002815 |SUN |13.91|  0.000|136|3|55|26|20|8|0
168|IC 1550|  6.11512 |  38.18561 |G|  5908| 0.019707 |SUN |15.1 |  0.000|17|0|32|9|6|4|0
169|NGC 0102|  6.15231 | -13.95635 |G|  7330| 0.024450 |SUN |14.00|  0.000|23|1|29|8|10|4|0
170|NGC 0106|  6.18227 |  -5.14873 |G|  6059| 0.020211 |SUN |14.48|  0.000|19|0|31|8|7|2|0
171|NGC 0105 NED01|  6.31817 |  12.89514 |G|  7581| 0.025287 |SUN |     |  0.000|4|0|1|3|1|0|0
172|NGC 0105 NED02|  6.31982 |  12.88395 |G|  5168| 0.017239 |S1L |14.1 |  0.000|32|1|37|18|19|5|0
173|NGC 0107|  6.42587 |  -8.28280 |G|  6289| 0.020978 |S1L |15.03|  0.000|16|0|44|10|4|4|0
174|NGC 0108|  6.49889 |  29.21209 |G|  4776| 0.015931 |SUN |13.09|  0.000|53|1|47|17|14|7|0
175|NGC 0109|  6.56108 |  21.80736 |G|  5571| 0.018583 |S1L |14.7 |  0.000|42|1|43|14|11|7|0
176|NGC 0115|  6.69278 | -33.67697 |G|  1831| 0.006108 |S1L |13.71|  0.000|79|1|67|23|26|18|0
177|NGC 0112|  6.70325 |  31.70325 |G|  6299| 0.021011 |S1L |14.49|  0.000|68|2|48|20|16|6|0
178|NGC 0113|  6.72768 |  -2.50089 |G|  4458| 0.014870 |UUN |14.14|  0.000|30|0|40|14|9|5|0
179|NGC 0119|  6.74000 | -56.97806 |G|  7430| 0.024784 |SUN |14.11|  0.000|23|1|44|11|7|16|0
180|NGC 0114|  6.74256 |  -1.78620 |G|  4159| 0.013873 |SLS |14.73|  0.000|42|4|41|16|9|7|0
181|NGC 0116|  6.77184 |  -7.66816 |G|  7573| 0.025261 |SUN |14.66|  0.000|18|0|31|7|5|4|0
182|NGC 0117|  6.79619 |   1.33370 |G|  5363| 0.017889 |SUN |15.29|  0.000|19|0|42|11|5|6|0
183|NGC 0118|  6.81760 |  -1.78012 |G| 10936| 0.036478 |SLS |14.83|  0.000|56|5|53|18|12|7|1
184|NGC 0120|  6.87538 |  -1.51344 |G|  3984| 0.013289 |S1L |14.42|  0.000|43|3|53|18|11|7|0
185|IC 1551|  6.89764 |   8.87736 |G| 13040| 0.043497 |SUN |14.30|  0.000|58|2|47|15|15|7|0
186|NGC 0124|  6.96818 |  -1.81029 |G|  4060| 0.013543 |SUN |13.2B|  0.000|69|3|56|25|18|7|0
187|IC 0015|  6.99000 |  -0.06129 |G| 13799| 0.046028 |SLS |15.5g|  0.000|32|0|80|21|18|10|0
188|IC 0016|  7.03201 | -13.09387 |G|  4846| 0.016164 |SUN |15.08|  0.000|15|0|34|7|6|3|0
189|IC 0017|  7.12414 |   2.64861 |G|  4317| 0.014400 |SUN |14.8 |  0.000|23|1|39|14|7|3|0
190|IC 0018|  7.14574 | -11.58657 |G|  5986| 0.019967 |SUN |15.46|  0.000|25|3|46|12|5|4|0
191|IC 0019|  7.16454 | -11.64074 |G|  6197| 0.020671 |SLS |15.0 |  0.000|28|1|41|12|8|4|0
192|IC 0020|  7.16532 | -13.01022 |G|  7778| 0.025945 |SUN |15.6 |  0.000|18|0|32|9|9|4|0
193|NGC 0125|  7.20903 |   2.83877 |G|  5306| 0.017699 |SUN |13.11|  0.000|68|3|57|17|11|8|0
194|NGC 0126|  7.28372 |   2.81110 |G|  4047| 0.013499 |UUN |15.22|  0.000|28|1|38|11|10|6|0
195|IC 0021|  7.29348 |  -0.16375 |G| 18233| 0.060818 |SLS |15.7b|  0.000|22|0|54|18|12|8|0
196|NGC 0127|  7.30171 |   2.87256 |G|  4094| 0.013656 |UUN |15   |  0.000|46|2|41|14|11|6|0
197|NGC 0128|  7.31269 |   2.86402 |G|  4241| 0.014146 |SUN |12.77|  0.000|191|7|72|22|18|8|0
198|NGC 0130|  7.32724 |   2.87042 |G|  4433| 0.014787 |SUN |15   |  0.000|33|2|36|11|9|6|0
199|IC 0022|  7.38822 |  -9.08072 |G|  6049| 0.020177 |SLS |14.4g|  0.000|25|0|70|12|9|11|0
200|NGC 0131|  7.41053 | -33.25986 |G|  1410| 0.004703 |SUN |13.78|  0.000|67|5|73|25|19|19|0
201|IC 1552|  7.43238 |  21.47677 |G|  5600| 0.018680 |SUN |15.33|  0.000|48|0|38|11|9|6|0
202|NGC 0132|  7.54463 |   2.09347 |G|  5364| 0.017892 |S1L |13.45|  0.000|94|4|50|26|20|7|0
203|NGC 0134|  7.59152 | -33.24396 |G|  1582| 0.005277 |UUN |11.40|  0.000|189|6|91|26|23|19|0
